t_index   term                df                  
1076      longer              2                   
1077      longin              1                   
1078      look                2                   
1079      loop                1                   
1080      lose                2                   
1081      loserfeder          1                   
1082      lost                3                   
1083      lot                 1                   
1084      lotter              1                   
1085      loui                1                   
1086      louis               1                   
1087      love                4                   
1088      lowli               1                   
1089      luc                 1                   
1090      lunat               1                   
1091      luxembourg          1                   
1092      maa                 1                   
1093      macfarlan           1                   
1094      macron              1                   
1095      made                6                   
1096      madrid              1                   
1097      magnific            1                   
1098      magnitz             1                   
1099      mahindra            1                   
1100      mahmoud             1                   
1101      maintain            1                   
1102      majest              1                   
1103      major               2                   
1104      make                9                   
1105      makeshift           1                   
1106      man                 7                   
1107      manag               1                   
1108      mane                1                   
1109      maniac              1                   
1110      marc                1                   
1111      march               3                   
1112      marin               1                   
1113      mark                3                   
1114      marrakesh           1                   
1115      marri               1                   
1116      marseil             1                   
1117      martial             1                   
1118      martina             1                   
1119      mask                1                   
1120      mass                1                   
1121      massa               1                   
1122      master              1                   
1123      match               1                   
1124      materi              1                   
1125      matteo              1                   
1126      matter              2                   
1127      mayor               1                   
1128      mayweath            1                   
1129      mcfadden            1                   
1130      mclaren             1                   
1131      mean                3                   
1132      measur              4                   
1133      medal               1                   
1134      medalist            1                   
1135      media               6                   
1136      mediev              1                   
1137      meet                3                   
1138      melbourn            2                   
1139      melchior            1                   
1140      meltdown            1                   
1141      member              5                   
1142      men                 6                   
1143      merkel              2                   
1144      mesej               1                   
1145      messag              1                   
1146      messi               1                   
1147      met                 2                   
1148      meter               1                   
1149      metropolitan        4                   
1150      meydan              1                   
1151      middl               3                   
1152      migrant             2                   
1153      mihaj               1                   
1154      mikaela             2                   
1155      mile                2                   
1156      million             4                   
1157      mind                1                   
1158      mingl               1                   
1159      minimum             1                   
1160      minist              5                   
1161      ministri            2                   
1162      minor               2                   
1163      miolsz              1                   
1164      mirka               1                   
1165      misogyni            1                   
1166      misogynist          1                   
1167      miss                2                   
1168      missouri            1                   
1169      misus               1                   
1170      mitch               1                   
1171      mmajunki            1                   
1172      mo                  2                   
1173      model               1                   
1174      moder               1                   
1175      modern              2                   
1176      monday              7                   
1177      money               2                   
1178      monitor             1                   
1179      month               10                  
1180      moritz              1                   
1181      morocco             1                   
1182      morph               1                   
1183      moscow              1                   
1184      mother              2                   
1185      motiv               2                   
1186      motorist            1                   
1187      motorsport          1                   
1188      mountain            2                   
1189      mourn               1                   
1190      move                7                   
1191      movi                1                   
1192      mp                  2                   
1193      mugger              1                   
1194      multipl             1                   
1195      munich              1                   
1196      murder              1                   
1197      murray              1                   
1198      musa                1                   
1199      museum              1                   
1200      music               1                   
1201      mvp                 1                   
1202      nad                 1                   
1203      nadal               1                   
1204      nake                1                   
1205      name                4                   
1206      nasti               1                   
1207      nasukawa            1                   
1208      nation              6                   
1209      national            1                   
1210      nativ               3                   
1211      natur               1                   
